name,category_id,source_page,source_image,local_image
"Laptop Acer Aspire Lite 16 GEN 2 AL16-52P-76DU","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-acer-aspire-lite-16-gen-2-al16-52p-76du.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_659_1__12.png","/product-images/cellphones/cps-016.png"
"Laptop Acer Gaming Aspire 7 A715-59G-57TU","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-59g-57tu.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_1__4_8.png","/product-images/cellphones/cps-017.webp"
"MacBook Neo 13 inch A18 Pro 2026 6CPU 5GPU 8GB 256GB | Chính hãng Apple Việt Nam","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/macbook-neo-13-a18-pro-6-cpu-5-gpu-8gb-256gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_13_19.png","/product-images/cellphones/cps-018.png"
"Laptop Lenovo IdeaPad Slim 5 14IMH10 83V6001HVN","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-lenovo-ideapad-slim-5-14imh10-83v6001hvn.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_894_1__2.png","/product-images/cellphones/cps-019.webp"
"Laptop Dell 14 DC14250 DC4C5386W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-dell-14-dc14250-dc4c5386w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_945_33.png","/product-images/cellphones/cps-020.png"
"Laptop Lenovo LOQ 15ARP10E 83S0007AVN","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-lenovo-loq-15arp10e-83s0007avn.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_8_16.png","/product-images/cellphones/cps-021.webp"
"Laptop ASUS TUF Gaming F16 FX607VJ-RL034W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vj-rl034w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_d_i_7_36.png","/product-images/cellphones/cps-022.webp"
"MacBook Air M5 13 inch 2026 10CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/macbook-air-13-m5-10-cpu-8-gpu-16gb-512gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_13_17.png","/product-images/cellphones/cps-023.webp"
"MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB | Chính hãng Apple Việt Nam","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/macbook_11_1.png","/product-images/cellphones/cps-024.png"
"Laptop ASUS Vivobook S14 S3407VA-LY146W","10000000-0000-0000-0000-000000000001","https://cellphones.com.vn/laptop-asus-vivobook-s14-s3407va-ly146w.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_744_1_47.png","/product-images/cellphones/cps-025.png"
"Samsung Galaxy S26 Ultra 5G 12GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-ultra-1.jpg","/product-images/cellphones/cps-026.webp"
"Samsung Galaxy A17 5G 8GB 128GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-a17-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-a17-5g-back.jpg","/product-images/cellphones/cps-027.webp"
"Samsung Galaxy S25 Plus 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-plus.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-s25-plus_3_.png","/product-images/cellphones/cps-028.webp"
"Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-pro-plus.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-redmi-note-14-pro-plus.jpg","/product-images/cellphones/cps-029.webp"
"POCO X8 Pro Max 12GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-xiaomi-poco-x8-pro-max.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-poco-x8-pro-max_2.jpg","/product-images/cellphones/cps-030.jpg"
"Samsung Galaxy A57 5G 8GB 128GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-a57.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-a57-2.jpg","/product-images/cellphones/cps-031.webp"
"Xiaomi 17T 5G 12GB 512GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-xiaomi-17t.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/x/i/xiaomi-17t_2.jpg","/product-images/cellphones/cps-032.webp"
"Samsung Galaxy A37 5G 8GB 128GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-a37.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-a37-2_2.jpg","/product-images/cellphones/cps-033.webp"
"Xiaomi 17 Ultra 5G 16GB 512GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-xiaomi-17-ultra.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-xiaomi-17-ultra-den.jpg","/product-images/cellphones/cps-034.webp"
"Xiaomi POCO F8 Pro 5G 12GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-poco-f8-pro-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/o/poco-f8-pro.jpg","/product-images/cellphones/cps-035.webp"
"HONOR 400 Pro 5G 12GB 512GB ","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-honor-400-pro-5g.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/h/o/honor_400_pro_5g_12gb_512gb-2_1.jpg","/product-images/cellphones/cps-036.webp"
" Xiaomi 15 Ultra 5G 16GB 1TB ","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-xiaomi-15-ultra-1tb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/p/h/photo_2025-04-16_11-45-37.jpg","/product-images/cellphones/cps-037.webp"
"Samsung Galaxy S26 Plus 5G 12GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-plus.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-plus-10.jpg","/product-images/cellphones/cps-038.webp"
"HONOR X8d 8GB 128GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-honor-x8d.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/h/o/honor-x8d-2.jpg","/product-images/cellphones/cps-039.webp"
"Điện thoại Itel P55 Plus NFC 8GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-itel-p55-plus-8gb-256gb_1__2.png","/product-images/cellphones/cps-040.webp"
"TECNO Spark Go 3 4GB 64GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-tecno-spark-go-3.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-tecno-spark-go-3.jpg","/product-images/cellphones/cps-041.webp"
"Nothing Phone 2A Plus 5G 12GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-nothing-phone-2a-plus.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-nothing-phone-2a-plus_1_.png","/product-images/cellphones/cps-042.webp"
"Samsung Galaxy S26 Plus 5G 12GB 512GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-plus-12gb-512gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-s26-plus-10_1.jpg","/product-images/cellphones/cps-043.webp"
"Samsung Galaxy S25 Edge 5G 12GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-edge.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-samsung-galaxy-s25-edge-13.jpg","/product-images/cellphones/cps-044.webp"
"TECNO Spark 50 4GB 128GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-tecno-spark-50.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/d/i/dien-thoai-tecno-spark-50.jpg","/product-images/cellphones/cps-045.webp"
"HONOR X6c 6GB 128GB NFC","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-honor-x6c.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/_/i/_i_n_tho_i_honor_x6c_6gb_128gb.jpg","/product-images/cellphones/cps-046.webp"
"iPhone 17 Pro 256GB | Chính hãng","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/iphone-17-pro.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-256-gb.png","/product-images/cellphones/cps-047.webp"
"iPhone 17 Pro Max 256GB | Chính hãng","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/iphone-17-pro-max.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-17-pro-max_3.jpg","/product-images/cellphones/cps-048.webp"
"iPhone 17 256GB | Chính hãng","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/iphone-17-256gb.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_17_256gb-3_2.jpg","/product-images/cellphones/cps-049.webp"
"Samsung Galaxy Z Fold7 12GB 256GB","10000000-0000-0000-0000-000000000002","https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-fold-7.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/a/samsung-galaxy-z-fold-7.jpg","/product-images/cellphones/cps-050.webp"
"Màn hình gaming Lenovo Legion R27S 68CCGAC1VN 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-lenovo-legion-r27s-68ccgac1vn-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_179_7.png","/product-images/cellphones/cps-051.webp"
"Màn hình Gaming LG UltraGear 27G411A-B 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-lg-ultragear-27g411a-b-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_895_1_.png","/product-images/cellphones/cps-052.webp"
"Màn hình Gaming LG UltraGear 25G523-B 25 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-lg-ultragear-25g523-b-25-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_185_1_4.png","/product-images/cellphones/cps-053.webp"
"Màn hình Gaming MSI MAG 245PF X24 24 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-msi-mag-245pf-x24-24-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_942_1_.png","/product-images/cellphones/cps-054.webp"
"Màn hình Gaming Samsung Odyssey G5 G50F LS27FG502EEXXV 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-samsung-odyssey-g5-g50f-ls27fg502eexxv-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_183_1_18.png","/product-images/cellphones/cps-055.webp"
"Màn hình Gaming Samsung Odyssey G3 G30D LS27DG302EEXXV 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-samsung-odyssey-g3-g30d-ls27dg302eexxv-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_183_1_14.png","/product-images/cellphones/cps-056.webp"
"Màn hình Gaming Xiaomi G34WQI 2026 34 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-xiaomi-g34wqi-34-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_923_2.png","/product-images/cellphones/cps-057.webp"
"Màn hình Gaming ViewSonic VX2479A-HD-PRO 240Hz 24 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-viewsonic-vx2479a-hd-pro-240hz-24-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_183_1_6.png","/product-images/cellphones/cps-058.webp"
"Màn hình Gaming ASUS TUF VG249QE5A 24 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-asus-tuf-vg249qe5a-24-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_635_17.png","/product-images/cellphones/cps-059.webp"
"Màn hình Gaming MSI MAG 275QF E20 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-msi-mag-275qf-e20-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_880_1_4.png","/product-images/cellphones/cps-060.webp"
"Màn hình Gaming MSI MAG 275QF 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-msi-mag-275qf-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_179_5_3.png","/product-images/cellphones/cps-061.webp"
"Màn hình Xiaomi A27QI 2026 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-xiaomi-a27qi-2026-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_179_6_60.png","/product-images/cellphones/cps-062.webp"
"Màn hình Gaming ASUS TUF VG27AQ5A 27 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-asus-tuf-vg27aq5a-27-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_180_1_13.png","/product-images/cellphones/cps-063.webp"
"Màn hình LG 24U411A-B 24 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-lg-24u411a-b-24-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_926_13.png","/product-images/cellphones/cps-064.webp"
"Màn hình di động MSI Pro MP165 E6 16 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-di-dong-msi-pro-mp165-e6-16-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_921_3_.png","/product-images/cellphones/cps-065.webp"
"Màn hình di động VSP GP1612WS1 16 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-di-dong-vsp-gp1612ws1-16-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_921_2.png","/product-images/cellphones/cps-066.webp"
"Giá treo màn hình HyperWork Core Arm SA01 22 - 32 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/gia-treo-man-hinh-hyperwork-core-arm-sa01-22-32-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_696_2.png","/product-images/cellphones/cps-067.webp"
"Màn hình E-Dra EGM24F120PV 24 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-e-dra-egm24f120pv-24-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_635_24.png","/product-images/cellphones/cps-068.webp"
"Màn hình Gaming ASUS TUF VG259Q5A 25 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-asus-tuf-vg259q5a-25-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_180_1_12.png","/product-images/cellphones/cps-069.webp"
"Màn hình Samsung Odyssey G5 LS32CG552 32 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-gaming-samsung-odyssey-g5-ls32cg552-32-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/man-hinh-gaming-samsung-odyssey-g5-ls32cg552-32-inch-10.png","/product-images/cellphones/cps-070.webp"
"Màn hình di động VSP GP1614WS1 16 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-di-dong-vsp-gp1614ws1-16-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_921_3.png","/product-images/cellphones/cps-071.webp"
"Màn hình văn phòng Dell U2424H 24 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-dell-u2424h-24-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/m/a/man-hinh-dell-u2424h-24-inch-10.png","/product-images/cellphones/cps-072.webp"
"Màn hình di động VSP VP1560FS1 15.6 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-di-dong-vsp-vp1560fs1-15-6-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_921_1_.png","/product-images/cellphones/cps-073.webp"
"Màn hình di động ASUS ZenScreen MB169CK 16 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-di-dong-asus-zenscreen-mb169ck-16-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_954.png","/product-images/cellphones/cps-074.webp"
"Màn hình MSI Pro MP242L 24 inch","10000000-0000-0000-0000-000000000006","https://cellphones.com.vn/man-hinh-msi-pro-mp242l-24-inch.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/g/r/group_635_2.png","/product-images/cellphones/cps-075.webp"
"HONOR Pad 10 Wifi 8GB 256GB","10000000-0000-0000-0000-00000000000a","https://cellphones.com.vn/may-tinh-bang-honor-pad-10.html","https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/h/o/honnor-pad-10.jpg","/product-images/cellphones/cps-076.webp"
